,id,Цена,Цена за кв.метр,Количество собственников,Район,Улица,Вид сделки,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Этажей в доме,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Техника,Способ продажи,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Дополнительно,Тип комнат,Мебель,Тип продавца,Data_added,latitude,longitude,center_distance,metro_distance
852,4276561285,4300000.0,94092.0,2 собственника или больше,Sovetsky,"Физкультурная ул., 23",возможна ипотека,2,45.7,6.0,30.0,4.0,5.0,балкон,2.6,совмещенный,"во двор, на солнечную сторону",косметический,"холодильник, стиральная машина",свободная,панельный,1960.0,нет,нет,газ,"детская площадка, спортивная площадка",открытая во дворе,,смежные,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.209363,50.246475,10.34,0.4
853,7272402551,3130000.0,95137.0,1 собственник,Krasnoglinsky,"2-й квартал, 16",возможна ипотека,1,32.9,7.3,17.6,3.0,5.0,балкон,2.5,совмещенный,на солнечную сторону,косметический,,свободная,кирпичный,1990.0,нет,нет,газ,"детская площадка, спортивная площадка",открытая во дворе,гардеробная,,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.302155,50.283863,17.67,10.01
854,4114180736,11200000.0,141058.0,1 собственник,Oktyabrsky,"ул. Лейтенанта Шмидта, 10",возможна ипотека,3,79.4,14.8,,8.0,17.0,"балкон, лоджия",2.7,раздельный,"во двор, на улицу",требует ремонта,,свободная,кирпичный,,1,1,,детская площадка,открытая во дворе,,изолированные,,агентство,2025-05-07,53.225145,50.152116,5.39,1.48
857,7326255785,5100000.0,137097.0,2 собственника или больше,Promyshlenny,"Солнечная ул., 29",возможна ипотека,1,37.2,10.8,18.9,1.0,9.0,балкон,2.5,раздельный,во двор,косметический,кондиционер,свободная,панельный,1989.0,1,,мусоропровод,детская площадка,открытая во дворе,,,"кухня, хранение одежды",частное лицо,2025-05-07,53.247867,50.198307,9.37,5.15
859,7265441159,5650000.0,130485.0,1 собственник,Promyshlenny,"Ново-Вокзальная ул., 114Б",возможна ипотека,1,43.3,12.2,14.7,9.0,25.0,лоджия,,совмещенный,,требует ремонта,,свободная,монолитный,,,,консьерж,,,,,,агентство,2025-05-07,53.233387,50.221798,9.71,2.91
860,4582938613,7600000.0,100930.0,1 собственник,Promyshlenny,"Воронежская ул., 137",,3,75.3,9.5,,4.0,9.0,"балкон, лоджия",2.5,раздельный,,требует ремонта,,свободная,панельный,1979.0,1,нет,"мусоропровод, газ","детская площадка, спортивная площадка",открытая во дворе,,изолированные,,частное лицо,2025-05-07,53.243836,50.220343,10.24,3.94
864,2742428255,88000000.0,225064.0,1 собственник,Oktyabrsky,"ул. Осипенко, 38",возможна ипотека,5,391.0,33.0,,20.0,22.0,балкон,3.2,совмещенный,"во двор, на улицу",дизайнерский,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,монолитный,2015.0,,2,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе","гардеробная, панорамные окна","изолированные, смежные","кухня, хранение одежды, спальные места",агентство,2025-05-07,53.206008,50.138767,3.38,0.49
866,7274008928,6000000.0,127660.0,1 собственник,Krasnoglinsky,"1-й квартал, 36",возможна ипотека,1,47.0,15.0,25.0,5.0,10.0,"балкон, лоджия",2.5,совмещенный,на улицу,евро,кондиционер,свободная,кирпичный,2014.0,1,1,газ,"детская площадка, спортивная площадка",открытая во дворе,гардеробная,,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.310285,50.285435,18.39,10.92
867,1941381177,6500000.0,84416.0,1 собственник,Promyshlenny,"Заводское ш., 54",,4,77.0,7.0,52.0,7.0,9.0,,2.7,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,,свободная,кирпичный,1980.0,1,,,детская площадка,открытая во дворе,,изолированные,,частное лицо,2025-05-07,53.21015,50.281024,12.63,0.25
868,7354454060,14990000.0,11296.0,1 собственник,Promyshlenny,"8-я просека, 60",возможна ипотека,3,1327.0,62.0,132.7,4.0,4.0,лоджия,2.8,совмещенный,на солнечную сторону,евро,"кондиционер, водонагреватель",свободная,кирпичный,2008.0,нет,нет,,,"подземная, открытая во дворе",гардеробная,изолированные,кухня,агентство,2025-05-07,53.262191,50.203005,10.72,6.28
